State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,4,0,1
MH,Pune,Kothrud - Bavdhan ,5,1,0
MH,Pune,Sinhagad Road ,16,4,0
MH,Pune,Warje - Karvenagar ,10,0,1
MH,Pune,Shivajinagar - Ghole Road,242,2,4
MH,Pune,Kasaba - Vishrambaugwada,169,11,6
MH,Pune,Dhankawadi - Sahakarnagar ,124,3,2
MH,Pune,Bhawani Peth ,416,25,15
MH,Pune,Bibwewadi ,71,3,2
MH,Pune,Dhole Patil Road ,314,24,3
MH,Pune,Yerwada - Kalas - Dhanori ,214,20,3
MH,Pune,Nagar Road - Wadgaon Sheri,55,6,0
MH,Pune,Wanawadi - Ramtekdi ,96,1,6
MH,Pune,Kondhwa - Yewalerwadi ,30,1,1
MH,Pune,Hadapsar - Mundhawa,56,1,5
MH,Pune,Outside Pune ,68,1,2
