State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,6,2,1
MH,Pune,Kothrud - Bavdhan ,3,0,0
MH,Pune,Sinhagad Road ,12,0,0
MH,Pune,Warje - Karvenagar ,15,4,1
MH,Pune,Shivajinagar - Ghole Road,247,4,4
MH,Pune,Kasaba - Vishrambaugwada,172,0,6
MH,Pune,Dhankawadi - Sahakarnagar ,79,0,2
MH,Pune,Bhawani Peth ,451,18,15
MH,Pune,Bibwewadi ,85,9,2
MH,Pune,Dhole Patil Road ,347,25,3
MH,Pune,Yerwada - Kalas - Dhanori ,236,19,3
MH,Pune,Nagar Road - Wadgaon Sheri,56,0,0
MH,Pune,Wanawadi - Ramtekdi ,110,6,6
MH,Pune,Kondhwa - Yewalerwadi ,29,0,1
MH,Pune,Hadapsar - Mundhawa,52,0,5
MH,Pune,Outside Pune ,65,0,2
