State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,3,0,1
MH,Pune,Kothrud - Bavdhan ,1,0,0
MH,Pune,Sinhagad Road ,8,0,0
MH,Pune,Warje - Karvenagar ,9,0,1
MH,Pune,Shivajinagar - Ghole Road,33,5,4
MH,Pune,Kasaba - Vishrambaugwada,63,12,5
MH,Pune,Dhankawadi - Sahakarnagar ,30,3,2
MH,Pune,Bhawani Peth ,130,22,15
MH,Pune,Bibwewadi ,20,3,2
MH,Pune,Dhole Patil Road ,61,4,3
MH,Pune,Yerwada - Kalas - Dhanori ,48,5,3
MH,Pune,Nagar Road - Wadgaon Sheri,6,0,0
MH,Pune,Wanawadi - Ramtekdi ,54,30,5
MH,Pune,Kondhwa - Yewalerwadi ,9,0,1
MH,Pune,Hadapsar - Mundhawa,21,0,3
MH,Pune,Outside Pune ,25,4,2
