State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,3,0,1
MH,Pune,Kothrud - Bavdhan ,1,0,0
MH,Pune,Sinhagad Road ,10,0,0
MH,Pune,Warje - Karvenagar ,9,0,1
MH,Pune,Shivajinagar - Ghole Road,110,20,4
MH,Pune,Kasaba - Vishrambaugwada,124,10,6
MH,Pune,Dhankawadi - Sahakarnagar ,49,4,2
MH,Pune,Bhawani Peth ,195,8,15
MH,Pune,Bibwewadi ,30,6,2
MH,Pune,Dhole Patil Road ,134,12,3
MH,Pune,Yerwada - Kalas - Dhanori ,104,3,3
MH,Pune,Nagar Road - Wadgaon Sheri,26,5,0
MH,Pune,Wanawadi - Ramtekdi ,44,1,6
MH,Pune,Kondhwa - Yewalerwadi ,12,0,1
MH,Pune,Hadapsar - Mundhawa,28,0,5
MH,Pune,Outside Pune ,44,3,2
