State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,2,0,1
MH,Pune,Kothrud - Bavdhan ,1,0,0
MH,Pune,Sinhagad Road ,8,0,0
MH,Pune,Warje - Karvenagar ,8,0,1
MH,Pune,Shivajinagar - Ghole Road,59,0,4
MH,Pune,Kasaba - Vishrambaugwada,102,9,6
MH,Pune,Dhankawadi - Sahakarnagar ,38,5,2
MH,Pune,Bhawani Peth ,168,11,15
MH,Pune,Bibwewadi ,24,1,2
MH,Pune,Dhole Patil Road ,97,1,3
MH,Pune,Yerwada - Kalas - Dhanori ,68,0,3
MH,Pune,Nagar Road - Wadgaon Sheri,16,3,0
MH,Pune,Wanawadi - Ramtekdi ,32,2,6
MH,Pune,Kondhwa - Yewalerwadi ,10,0,1
MH,Pune,Hadapsar - Mundhawa,26,2,5
MH,Pune,Outside Pune ,37,2,2
