State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,4,0,1
MH,Pune,Kothrud - Bavdhan ,3,1,0
MH,Pune,Sinhagad Road ,11,0,0
MH,Pune,Warje - Karvenagar ,9,0,1
MH,Pune,Shivajinagar - Ghole Road,227,37,4
MH,Pune,Kasaba - Vishrambaugwada,151,6,6
MH,Pune,Dhankawadi - Sahakarnagar ,121,57,2
MH,Pune,Bhawani Peth ,325,59,15
MH,Pune,Bibwewadi ,55,19,2
MH,Pune,Dhole Patil Road ,246,43,3
MH,Pune,Yerwada - Kalas - Dhanori ,172,5,3
MH,Pune,Nagar Road - Wadgaon Sheri,42,7,0
MH,Pune,Wanawadi - Ramtekdi ,90,27,6
MH,Pune,Kondhwa - Yewalerwadi ,28,9,1
MH,Pune,Hadapsar - Mundhawa,54,3,5
MH,Pune,Outside Pune ,64,6,2
