State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,3,0,0
MH,Pune,Kothrud - Bavdhan ,1,0,0
MH,Pune,Sinhagad Road ,5,0,0
MH,Pune,Warje - Karvenagar ,1,0,0
MH,Pune,Shivajinagar - Ghole Road,6,0,0
MH,Pune,Kasaba - Vishrambaugwada,17,0,0
MH,Pune,Dhankawadi - Sahakarnagar ,13,0,0
MH,Pune,Bhawani Peth ,40,0,0
MH,Pune,Bibwewadi ,4,0,0
MH,Pune,Dhole Patil Road ,16,0,0
MH,Pune,Yerwada - Kalas - Dhanori ,6,0,0
MH,Pune,Nagar Road - Wadgaon Sheri,1,0,0
MH,Pune,Wanawadi - Ramtekdi ,5,0,0
MH,Pune,Kondhwa - Yewalerwadi ,6,0,0
MH,Pune,Hadapsar - Mundhawa,12,0,0
MH,Pune,Outside Pune ,6,0,0
