State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,3,0,1
MH,Pune,Kothrud - Bavdhan ,1,0,0
MH,Pune,Sinhagad Road ,8,3,0
MH,Pune,Warje - Karvenagar ,9,0,1
MH,Pune,Shivajinagar - Ghole Road,28,1,3
MH,Pune,Kasaba - Vishrambaugwada,51,6,5
MH,Pune,Dhankawadi - Sahakarnagar ,27,1,2
MH,Pune,Bhawani Peth ,108,12,15
MH,Pune,Bibwewadi ,17,2,1
MH,Pune,Dhole Patil Road ,57,9,3
MH,Pune,Yerwada - Kalas - Dhanori ,43,12,3
MH,Pune,Nagar Road - Wadgaon Sheri,6,1,0
MH,Pune,Wanawadi - Ramtekdi ,24,2,5
MH,Pune,Kondhwa - Yewalerwadi ,9,0,1
MH,Pune,Hadapsar - Mundhawa,21,0,3
MH,Pune,Outside Pune ,21,3,2
