State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,4,0,1
MH,Pune,Kothrud - Bavdhan ,4,1,0
MH,Pune,Sinhagad Road ,12,1,0
MH,Pune,Warje - Karvenagar ,9,0,1
MH,Pune,Shivajinagar - Ghole Road,237,10,4
MH,Pune,Kasaba - Vishrambaugwada,156,5,6
MH,Pune,Dhankawadi - Sahakarnagar ,121,0,2
MH,Pune,Bhawani Peth ,352,27,15
MH,Pune,Bibwewadi ,64,9,2
MH,Pune,Dhole Patil Road ,267,21,3
MH,Pune,Yerwada - Kalas - Dhanori ,182,10,3
MH,Pune,Nagar Road - Wadgaon Sheri,48,6,0
MH,Pune,Wanawadi - Ramtekdi ,90,0,6
MH,Pune,Kondhwa - Yewalerwadi ,29,1,1
MH,Pune,Hadapsar - Mundhawa,55,1,5
MH,Pune,Outside Pune ,64,0,2
