State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,3,0,1
MH,Pune,Kothrud - Bavdhan ,1,0,0
MH,Pune,Sinhagad Road ,5,0,0
MH,Pune,Warje - Karvenagar ,9,8,1
MH,Pune,Shivajinagar - Ghole Road,27,10,3
MH,Pune,Kasaba - Vishrambaugwada,45,3,4
MH,Pune,Dhankawadi - Sahakarnagar ,26,4,2
MH,Pune,Bhawani Peth ,96,11,12
MH,Pune,Bibwewadi ,15,3,1
MH,Pune,Dhole Patil Road ,48,8,3
MH,Pune,Yerwada - Kalas - Dhanori ,31,3,3
MH,Pune,Nagar Road - Wadgaon Sheri,5,1,0
MH,Pune,Wanawadi - Ramtekdi ,22,4,4
MH,Pune,Kondhwa - Yewalerwadi ,9,1,1
MH,Pune,Hadapsar - Mundhawa,21,1,3
MH,Pune,Outside Pune ,18,3,2
