State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,3,0,1
MH,Pune,Kothrud - Bavdhan ,1,0,0
MH,Pune,Sinhagad Road ,10,0,0
MH,Pune,Warje - Karvenagar ,9,0,1
MH,Pune,Shivajinagar - Ghole Road,90,0,4
MH,Pune,Kasaba - Vishrambaugwada,114,0,6
MH,Pune,Dhankawadi - Sahakarnagar ,45,0,2
MH,Pune,Bhawani Peth ,187,0,15
MH,Pune,Bibwewadi ,24,0,2
MH,Pune,Dhole Patil Road ,122,0,3
MH,Pune,Yerwada - Kalas - Dhanori ,101,0,3
MH,Pune,Nagar Road - Wadgaon Sheri,21,0,0
MH,Pune,Wanawadi - Ramtekdi ,43,0,6
MH,Pune,Kondhwa - Yewalerwadi ,12,0,1
MH,Pune,Hadapsar - Mundhawa,28,0,5
MH,Pune,Outside Pune ,41,0,2
