State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,4,0,1
MH,Pune,Kothrud - Bavdhan ,2,0,0
MH,Pune,Sinhagad Road ,11,1,0
MH,Pune,Warje - Karvenagar ,9,0,1
MH,Pune,Shivajinagar - Ghole Road,157,15,4
MH,Pune,Kasaba - Vishrambaugwada,134,3,6
MH,Pune,Dhankawadi - Sahakarnagar ,62,1,2
MH,Pune,Bhawani Peth ,250,5,15
MH,Pune,Bibwewadi ,33,1,2
MH,Pune,Dhole Patil Road ,184,21,3
MH,Pune,Yerwada - Kalas - Dhanori ,139,12,3
MH,Pune,Nagar Road - Wadgaon Sheri,30,0,0
MH,Pune,Wanawadi - Ramtekdi ,58,2,6
MH,Pune,Kondhwa - Yewalerwadi ,16,0,1
MH,Pune,Hadapsar - Mundhawa,41,9,5
MH,Pune,Outside Pune ,53,3,2
