State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,3,0,1
MH,Pune,Kothrud - Bavdhan ,1,0,0
MH,Pune,Sinhagad Road ,9,1,0
MH,Pune,Warje - Karvenagar ,9,0,1
MH,Pune,Shivajinagar - Ghole Road,39,6,4
MH,Pune,Kasaba - Vishrambaugwada,65,2,5
MH,Pune,Dhankawadi - Sahakarnagar ,32,2,2
MH,Pune,Bhawani Peth ,140,10,16
MH,Pune,Bibwewadi ,23,3,2
MH,Pune,Dhole Patil Road ,70,9,3
MH,Pune,Yerwada - Kalas - Dhanori ,52,4,3
MH,Pune,Nagar Road - Wadgaon Sheri,11,5,0
MH,Pune,Wanawadi - Ramtekdi ,32,22,5
MH,Pune,Kondhwa - Yewalerwadi ,5,4,1
MH,Pune,Hadapsar - Mundhawa,23,2,3
MH,Pune,Outside Pune ,27,2,2
