State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,3,0,0
MH,Pune,Kothrud - Bavdhan ,1,0,0
MH,Pune,Sinhagad Road ,5,0,0
MH,Pune,Warje - Karvenagar ,1,0,0
MH,Pune,Shivajinagar - Ghole Road,11,0,0
MH,Pune,Kasaba - Vishrambaugwada,41,8,0
MH,Pune,Dhankawadi - Sahakarnagar ,18,1,0
MH,Pune,Bhawani Peth ,78,9,0
MH,Pune,Bibwewadi ,11,1,0
MH,Pune,Dhole Patil Road ,39,8,0
MH,Pune,Yerwada - Kalas - Dhanori ,17,1,0
MH,Pune,Nagar Road - Wadgaon Sheri,3,0,0
MH,Pune,Wanawadi - Ramtekdi ,15,5,0
MH,Pune,Kondhwa - Yewalerwadi ,8,0,0
MH,Pune,Hadapsar - Mundhawa,21,0,0
MH,Pune,Outside Pune ,12,0,0
