State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,2,0,1
MH,Pune,Kothrud - Bavdhan ,1,0,0
MH,Pune,Sinhagad Road ,9,1,0
MH,Pune,Warje - Karvenagar ,9,1,1
MH,Pune,Shivajinagar - Ghole Road,77,18,4
MH,Pune,Kasaba - Vishrambaugwada,111,9,6
MH,Pune,Dhankawadi - Sahakarnagar ,43,5,2
MH,Pune,Bhawani Peth ,171,3,15
MH,Pune,Bibwewadi ,24,0,2
MH,Pune,Dhole Patil Road ,110,13,3
MH,Pune,Yerwada - Kalas - Dhanori ,82,14,3
MH,Pune,Nagar Road - Wadgaon Sheri,18,2,0
MH,Pune,Wanawadi - Ramtekdi ,34,2,6
MH,Pune,Kondhwa - Yewalerwadi ,12,2,1
MH,Pune,Hadapsar - Mundhawa,26,0,5
MH,Pune,Outside Pune ,39,2,2
