State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,4,0,1
MH,Pune,Kothrud - Bavdhan ,2,0,0
MH,Pune,Sinhagad Road ,11,0,0
MH,Pune,Warje - Karvenagar ,9,0,1
MH,Pune,Shivajinagar - Ghole Road,175,18,4
MH,Pune,Kasaba - Vishrambaugwada,154,20,6
MH,Pune,Dhankawadi - Sahakarnagar ,62,0,2
MH,Pune,Bhawani Peth ,263,13,15
MH,Pune,Bibwewadi ,36,3,2
MH,Pune,Dhole Patil Road ,190,6,3
MH,Pune,Yerwada - Kalas - Dhanori ,158,19,3
MH,Pune,Nagar Road - Wadgaon Sheri,31,1,0
MH,Pune,Wanawadi - Ramtekdi ,61,3,6
MH,Pune,Kondhwa - Yewalerwadi ,19,3,1
MH,Pune,Hadapsar - Mundhawa,43,2,5
MH,Pune,Outside Pune ,55,2,2
