State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,2,0,1
MH,Pune,Kothrud - Bavdhan ,1,0,0
MH,Pune,Sinhagad Road ,8,0,0
MH,Pune,Warje - Karvenagar ,8,0,1
MH,Pune,Shivajinagar - Ghole Road,59,20,4
MH,Pune,Kasaba - Vishrambaugwada,93,28,5
MH,Pune,Dhankawadi - Sahakarnagar ,33,1,2
MH,Pune,Bhawani Peth ,157,17,16
MH,Pune,Bibwewadi ,23,0,2
MH,Pune,Dhole Patil Road ,96,26,3
MH,Pune,Yerwada - Kalas - Dhanori ,69,17,3
MH,Pune,Nagar Road - Wadgaon Sheri,13,2,0
MH,Pune,Wanawadi - Ramtekdi ,30,0,5
MH,Pune,Kondhwa - Yewalerwadi ,10,5,1
MH,Pune,Hadapsar - Mundhawa,24,1,3
MH,Pune,Outside Pune ,35,8,2
