State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,3,0,0
MH,Pune,Kothrud - Bavdhan ,1,0,0
MH,Pune,Sinhagad Road ,5,0,0
MH,Pune,Warje - Karvenagar ,9,8,0
MH,Pune,Shivajinagar - Ghole Road,17,6,0
MH,Pune,Kasaba - Vishrambaugwada,42,1,0
MH,Pune,Dhankawadi - Sahakarnagar ,22,4,0
MH,Pune,Bhawani Peth ,85,7,0
MH,Pune,Bibwewadi ,12,1,0
MH,Pune,Dhole Patil Road ,40,1,0
MH,Pune,Yerwada - Kalas - Dhanori ,28,11,0
MH,Pune,Nagar Road - Wadgaon Sheri,4,1,0
MH,Pune,Wanawadi - Ramtekdi ,18,3,0
MH,Pune,Kondhwa - Yewalerwadi ,8,0,0
MH,Pune,Hadapsar - Mundhawa,21,0,0
MH,Pune,Outside Pune ,15,3,0
