State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,4,0,1
MH,Pune,Kothrud - Bavdhan ,2,0,0
MH,Pune,Sinhagad Road ,11,0,0
MH,Pune,Warje - Karvenagar ,9,0,1
MH,Pune,Shivajinagar - Ghole Road,190,15,4
MH,Pune,Kasaba - Vishrambaugwada,157,3,6
MH,Pune,Dhankawadi - Sahakarnagar ,64,2,2
MH,Pune,Bhawani Peth ,266,3,15
MH,Pune,Bibwewadi ,36,0,2
MH,Pune,Dhole Patil Road ,203,13,3
MH,Pune,Yerwada - Kalas - Dhanori ,167,9,3
MH,Pune,Nagar Road - Wadgaon Sheri,35,4,0
MH,Pune,Wanawadi - Ramtekdi ,63,2,6
MH,Pune,Kondhwa - Yewalerwadi ,19,0,1
MH,Pune,Hadapsar - Mundhawa,51,8,5
MH,Pune,Outside Pune ,58,3,2
