State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,4,1,1
MH,Pune,Kothrud - Bavdhan ,2,1,0
MH,Pune,Sinhagad Road ,10,0,0
MH,Pune,Warje - Karvenagar ,9,0,1
MH,Pune,Shivajinagar - Ghole Road,142,9,4
MH,Pune,Kasaba - Vishrambaugwada,131,4,6
MH,Pune,Dhankawadi - Sahakarnagar ,61,6,2
MH,Pune,Bhawani Peth ,245,31,15
MH,Pune,Bibwewadi ,32,1,2
MH,Pune,Dhole Patil Road ,163,3,3
MH,Pune,Yerwada - Kalas - Dhanori ,127,8,3
MH,Pune,Nagar Road - Wadgaon Sheri,30,1,0
MH,Pune,Wanawadi - Ramtekdi ,56,2,6
MH,Pune,Kondhwa - Yewalerwadi ,16,3,1
MH,Pune,Hadapsar - Mundhawa,32,2,5
MH,Pune,Outside Pune ,50,1,2
