State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,4,0,1
MH,Pune,Kothrud - Bavdhan ,4,0,0
MH,Pune,Sinhagad Road ,12,0,0
MH,Pune,Warje - Karvenagar ,10,1,1
MH,Pune,Shivajinagar - Ghole Road,240,3,4
MH,Pune,Kasaba - Vishrambaugwada,158,2,6
MH,Pune,Dhankawadi - Sahakarnagar ,121,0,2
MH,Pune,Bhawani Peth ,391,39,15
MH,Pune,Bibwewadi ,68,4,2
MH,Pune,Dhole Patil Road ,290,23,3
MH,Pune,Yerwada - Kalas - Dhanori ,194,12,3
MH,Pune,Nagar Road - Wadgaon Sheri,49,1,0
MH,Pune,Wanawadi - Ramtekdi ,95,5,6
MH,Pune,Kondhwa - Yewalerwadi ,29,0,1
MH,Pune,Hadapsar - Mundhawa,55,0,5
MH,Pune,Outside Pune ,67,3,2
