State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,3,0,0
MH,Pune,Kothrud - Bavdhan ,1,0,0
MH,Pune,Sinhagad Road ,5,0,0
MH,Pune,Warje - Karvenagar ,1,0,0
MH,Pune,Shivajinagar - Ghole Road,11,4,0
MH,Pune,Kasaba - Vishrambaugwada,33,4,0
MH,Pune,Dhankawadi - Sahakarnagar ,19,5,0
MH,Pune,Bhawani Peth ,69,13,0
MH,Pune,Bibwewadi ,10,5,0
MH,Pune,Dhole Patil Road ,31,3,0
MH,Pune,Yerwada - Kalas - Dhanori ,16,7,0
MH,Pune,Nagar Road - Wadgaon Sheri,3,0,0
MH,Pune,Wanawadi - Ramtekdi ,10,2,0
MH,Pune,Kondhwa - Yewalerwadi ,8,0,0
MH,Pune,Hadapsar - Mundhawa,21,0,0
MH,Pune,Outside Pune ,12,2,0
