State,Region,Ward,Total_Cases,New_Cases,Total_Deaths
MH,Pune,Aundh - Baner,3,0,0
MH,Pune,Kothrud - Bavdhan ,1,0,0
MH,Pune,Sinhagad Road ,5,0,0
MH,Pune,Warje - Karvenagar ,1,0,0
MH,Pune,Shivajinagar - Ghole Road,7,1,0
MH,Pune,Kasaba - Vishrambaugwada,29,6,0
MH,Pune,Dhankawadi - Sahakarnagar ,14,1,0
MH,Pune,Bhawani Peth ,56,14,0
MH,Pune,Bibwewadi ,5,1,0
MH,Pune,Dhole Patil Road ,28,3,0
MH,Pune,Yerwada - Kalas - Dhanori ,9,3,0
MH,Pune,Nagar Road - Wadgaon Sheri,3,2,0
MH,Pune,Wanawadi - Ramtekdi ,8,3,0
MH,Pune,Kondhwa - Yewalerwadi ,8,2,0
MH,Pune,Hadapsar - Mundhawa,21,3,0
MH,Pune,Outside Pune ,10,4,0
